amount,hour,distance_from_home_km,distance_from_last_transaction_km,is_foreign,is_new_device,failed_logins_24h,transactions_last_1h,avg_amount_30d,account_age_days,merchant_risk,velocity_ratio,is_fraud
2567.26,7,15.16,65.19,0,0,1,1,4072.2,1947,0.061,0.756,0
2816.51,9,14.41,10.79,0,1,0,1,1709.47,2967,0.296,1.976,0
2305.73,11,39.44,33.25,0,1,0,0,1956.4,1974,0.165,1.178,0
688.48,23,57.94,27.21,0,1,0,1,519.33,374,0.209,1.588,0
1689.46,6,21.68,16.39,1,0,0,1,1447.39,1280,0.143,1.4,0
1505.21,2,54.25,3.96,0,1,0,1,468.53,2860,0.15,3.847,0
1666.85,19,37.78,2.33,0,1,0,2,639.07,2502,0.351,3.646,0
3201.67,9,40.75,3.56,0,0,0,3,1214.2,347,0.237,4.215,0
1675.05,23,1.33,19.15,0,0,1,3,676.51,716,0.221,3.956,0
2641.0,13,15.1,21.12,0,0,1,1,1034.98,3523,0.086,3.059,0
1433.08,2,10.99,8.38,0,0,0,2,1423.13,449,0.43,1.409,0
1788.48,11,6.24,8.4,1,0,0,0,1514.45,861,0.136,1.18,1
2518.17,10,15.65,17.32,0,0,0,3,1271.59,965,0.155,3.166,0
311.95,20,8.83,12.25,0,0,0,1,1368.69,2618,0.148,0.273,0
972.95,15,3.1,10.1,0,0,1,1,657.19,1387,0.428,1.774,0
836.84,5,15.04,18.2,0,0,1,1,670.96,989,0.081,1.494,0
707.06,7,23.35,12.05,0,0,0,1,441.25,3290,0.562,1.919,0
1017.25,0,28.48,4.36,0,0,0,2,613.85,2163,0.096,2.316,0
5972.62,5,13.49,33.08,0,0,0,0,848.91,820,0.348,7.027,0
563.5,9,16.78,24.07,0,0,0,2,838.83,533,0.182,0.939,0
3527.27,1,30.96,14.04,0,0,0,1,1263.5,794,0.112,3.347,0
248.92,5,22.13,17.54,0,0,0,2,1487.43,1011,0.219,0.234,0
958.26,11,35.06,18.79,0,0,1,1,551.84,3108,0.218,2.08,0
1576.17,21,20.29,8.87,0,0,0,2,1580.07,3085,0.242,1.396,0
2407.21,7,24.33,9.07,0,0,1,2,1709.51,595,0.134,1.97,0
2727.73,14,19.04,20.96,0,0,0,3,842.71,2429,0.287,5.173,0
2961.19,0,53.94,25.47,0,0,1,2,3593.89,3026,0.056,1.153,0
945.09,8,40.15,11.26,0,0,0,1,1080.3,2839,0.056,1.049,0
843.57,13,19.03,4.41,0,0,0,1,210.85,1616,0.136,4.778,0
3158.89,6,14.25,9.26,0,0,0,0,1253.13,361,0.05,2.519,0
1106.21,15,48.26,11.08,0,0,1,2,1362.45,3436,0.063,1.136,0
374.02,4,28.9,49.75,1,0,0,1,2189.37,3636,0.351,0.205,0
431.26,22,21.94,53.77,0,0,0,3,1001.04,3202,0.18,0.689,0
534.08,2,60.24,9.84,0,0,1,4,420.37,155,0.171,2.281,0
2202.09,10,31.9,22.81,0,0,0,1,759.67,672,0.155,3.474,0
1544.45,13,36.9,5.77,0,0,0,2,2188.69,1004,0.334,0.987,0
2671.74,8,40.11,4.1,0,0,1,0,408.45,1146,0.204,6.525,0
873.71,10,56.36,46.25,0,0,0,1,7506.09,3319,0.366,0.14,0
1569.54,3,37.44,14.31,0,0,0,1,376.75,2654,0.288,4.986,0
2503.86,6,7.03,2.29,1,0,0,2,2077.38,3560,0.13,1.687,0
983.04,17,7.56,25.79,0,1,0,0,1821.81,1344,0.099,0.539,0
2114.93,18,10.69,24.39,0,0,0,0,1418.45,3437,0.164,1.49,0
690.95,0,7.53,11.55,0,1,0,3,2401.79,2484,0.26,0.46,1
931.64,7,10.43,30.52,0,0,0,1,473.15,3601,0.126,2.358,0
914.39,22,16.21,22.47,0,0,0,0,517.47,3351,0.273,1.764,0
405.11,17,8.32,23.37,0,1,0,4,744.17,1521,0.246,0.979,1
2179.77,5,22.78,15.36,0,1,0,1,188.93,929,0.461,13.772,0
837.65,14,49.89,6.89,0,0,0,3,454.04,2835,0.133,2.945,0
1356.27,3,66.42,25.43,0,0,0,0,1109.64,2742,0.071,1.221,0
2166.24,2,18.95,9.54,0,0,0,2,1013.19,197,0.294,2.99,0
2093.37,13,13.15,54.01,0,0,1,0,1467.45,3153,0.166,1.426,0
2605.51,11,17.56,21.56,0,0,0,1,608.01,2767,0.146,5.134,0
1213.8,14,19.46,48.63,0,0,0,0,24224.35,2165,0.031,0.05,0
877.17,18,7.1,35.14,0,0,0,0,1684.17,1150,0.138,0.521,0
1236.8,14,27.63,19.18,0,0,0,1,1147.44,689,0.103,1.292,0
247.81,12,63.21,21.4,1,0,0,1,3165.14,1588,0.154,0.094,0
315.1,5,3.81,2.53,0,0,0,2,896.36,1154,0.341,0.492,0
356.84,19,17.15,46.36,0,0,0,1,220.03,1164,0.279,1.937,0
494.11,19,24.71,12.4,0,0,0,0,1805.81,495,0.249,0.273,0
1997.74,11,15.05,19.8,0,0,0,1,2022.37,1693,0.183,1.185,1
541.6,1,11.19,10.99,0,0,0,1,1803.43,1706,0.132,0.36,0
917.67,18,91.56,20.72,0,1,0,3,1663.65,1736,0.479,0.882,1
4910.98,23,1.89,37.49,0,0,0,1,819.88,2502,0.281,7.179,0
937.99,3,6.09,3.94,0,0,1,0,771.0,1418,0.147,1.215,0
2800.39,11,43.43,13.07,0,0,1,2,951.49,228,0.181,4.116,0
526.57,5,31.42,10.45,0,1,0,1,480.87,2889,0.063,1.311,0
1090.69,5,14.91,10.19,0,0,0,4,1817.35,628,0.185,1.08,0
518.0,6,17.17,47.99,0,0,0,2,867.0,1114,0.059,0.835,0
954.29,14,9.56,22.27,0,0,0,2,2342.76,56,0.315,0.57,0
3103.57,9,26.99,19.38,0,0,0,2,3052.94,3571,0.215,1.423,0
238.1,9,20.6,9.5,0,0,0,0,139.27,1074,0.234,1.697,0
2068.18,16,21.46,22.93,0,0,1,0,893.59,2095,0.263,2.312,0
1698.9,2,14.31,13.6,0,1,0,2,1628.21,1891,0.265,1.46,0
739.41,6,14.82,1.87,0,0,0,4,842.22,2124,0.195,1.578,0
315.43,5,40.6,6.9,0,0,1,3,645.95,1138,0.128,0.78,0
1439.61,7,32.88,8.48,0,0,0,1,5151.39,577,0.097,0.335,0
788.8,16,19.35,30.61,0,0,1,0,1351.2,457,0.394,0.583,0
1690.33,6,47.0,8.54,0,1,0,1,1044.94,2657,0.105,1.939,0
1369.02,19,25.55,5.43,0,0,1,0,3789.87,3325,0.324,0.361,0
6646.06,5,7.36,11.13,0,1,0,1,2280.84,2871,0.113,3.495,0
1054.31,11,30.34,4.09,0,0,0,3,3867.57,1282,0.212,0.436,0
481.31,23,27.02,5.87,0,0,0,1,282.21,2827,0.175,2.039,0
1602.43,12,21.48,18.23,0,1,0,1,3281.71,219,0.337,0.586,0
1669.03,0,8.76,6.62,0,0,0,1,531.68,453,0.319,3.76,0
5214.44,10,5.11,6.64,0,0,0,0,394.07,2163,0.071,13.199,0
3087.48,15,5.55,3.19,0,0,0,1,700.63,2612,0.437,5.281,0
1913.85,4,12.02,26.13,1,0,0,0,592.9,1708,0.48,3.223,1
5786.62,6,24.03,9.59,0,0,0,3,2323.27,3467,0.398,3.983,0
407.99,10,3.53,4.42,0,0,0,0,1110.91,1852,0.189,0.367,0
706.45,4,13.57,21.13,0,0,0,0,1339.86,2608,0.101,0.527,0
530.29,10,15.35,47.31,0,0,0,2,2363.72,3201,0.276,0.314,0
907.04,4,1.64,24.98,0,0,0,0,2708.06,1253,0.119,0.335,0
338.09,17,4.21,12.03,1,0,0,3,156.43,1656,0.291,3.436,0
2527.92,4,2.66,6.32,0,0,1,1,660.33,2366,0.294,4.587,0
1072.53,1,17.75,18.09,0,1,0,1,1000.38,2027,0.168,1.285,0
307.72,23,4.11,14.82,0,0,0,1,1813.82,2364,0.128,0.203,0
485.13,6,39.01,9.12,0,1,0,2,937.68,23,0.057,0.724,0
1832.64,4,43.26,12.46,0,0,1,1,1611.01,748,0.1,1.364,0
3096.81,13,27.57,26.33,0,1,0,2,3219.64,1434,0.175,1.346,0
9864.83,17,18.61,6.75,0,0,0,0,2131.27,827,0.249,4.626,0
24682.81,5,15.71,13.34,0,1,0,6,865.84,265,0.192,62.644,1
2027.2,17,14.93,15.46,0,0,0,3,1299.86,76,0.29,2.493,0
497.93,10,18.88,23.49,0,0,1,0,1830.94,1122,0.244,0.272,0
158.85,3,22.1,7.79,0,0,0,2,2470.43,1413,0.187,0.09,0
1750.6,11,20.31,22.72,0,0,0,2,655.95,1839,0.23,3.731,0
594.11,23,17.97,18.64,0,0,1,1,925.19,1576,0.159,0.77,0
884.16,3,68.01,25.17,0,0,0,2,413.94,1422,0.32,2.983,1
726.26,9,16.58,11.47,0,1,1,0,277.84,1011,0.265,2.605,0
1163.52,7,14.91,23.42,0,0,0,2,637.03,1547,0.185,2.553,0
3889.28,21,15.82,36.4,0,0,1,1,1268.48,817,0.359,3.676,0
1567.2,14,28.09,18.5,0,0,0,4,539.63,3500,0.358,5.218,0
1142.95,17,31.83,62.69,0,1,0,2,1496.59,2976,0.026,1.068,0
475.49,18,20.3,9.61,0,0,1,2,688.37,291,0.32,0.966,0
250.97,13,54.98,19.36,0,1,0,1,2169.67,3261,0.206,0.139,0
823.61,11,22.52,12.33,0,0,1,1,737.26,662,0.18,1.339,0
1269.3,11,33.57,37.18,1,0,0,0,6666.3,987,0.253,0.19,0
7847.34,0,48.24,34.99,1,0,0,0,2218.4,1521,0.374,3.536,0
1525.8,22,19.1,14.52,1,0,0,2,2157.21,1087,0.522,0.99,1
3578.64,16,4.43,53.15,0,0,1,1,805.67,689,0.167,5.324,0
812.98,19,20.4,29.92,0,0,1,1,400.94,2017,0.282,2.427,1
409.55,8,39.53,14.93,0,0,0,3,2522.52,980,0.405,0.26,0
510.24,23,37.27,5.76,0,0,0,2,3585.85,1474,0.14,0.199,0
648.57,10,66.69,16.35,0,0,0,2,1518.44,3620,0.34,0.598,0
11253.9,3,40.29,17.98,0,0,0,3,588.94,2765,0.335,30.522,1
589.11,21,20.4,18.34,0,0,0,3,1134.94,2676,0.302,0.83,0
3097.93,15,15.13,32.38,0,0,0,3,1611.46,1921,0.314,3.074,0
542.98,10,4.68,2.94,0,0,1,0,750.83,2227,0.284,0.722,0
3400.14,7,49.82,13.82,0,0,0,1,7346.32,331,0.25,0.555,0
1968.35,21,21.91,10.81,0,0,0,1,311.42,2751,0.182,7.56,0
1145.23,12,26.13,25.98,0,0,0,3,2449.91,352,0.148,0.748,0
1285.93,6,8.91,13.59,0,0,0,0,3903.65,606,0.194,0.329,0
695.9,9,11.04,14.8,0,0,0,1,875.87,3581,0.37,0.952,0
2092.41,16,17.2,13.7,0,0,0,1,1066.32,89,0.109,2.353,0
849.81,21,32.61,42.83,0,0,0,1,685.51,424,0.117,1.485,0
393.23,10,21.32,2.18,0,0,1,0,514.79,3282,0.469,0.762,0
373.18,13,10.1,16.16,0,1,0,2,1974.32,1293,0.242,0.264,0
1591.75,22,10.85,15.04,0,0,0,2,3720.56,781,0.326,0.599,1
6496.97,10,6.12,20.77,0,0,0,2,1902.27,2196,0.154,4.779,0
1571.82,17,4.31,23.8,0,0,0,2,1290.12,2207,0.16,1.704,0
1189.59,18,9.9,12.29,0,0,0,3,1252.51,805,0.064,1.518,0
1782.6,6,21.32,14.45,0,0,0,0,317.51,914,0.028,5.597,0
4944.35,3,28.81,20.25,0,0,0,1,1513.79,109,0.138,3.917,0
1668.0,10,55.89,19.62,0,0,1,0,1166.93,3339,0.107,1.428,1
888.09,14,16.37,23.81,0,1,0,3,1471.71,1639,0.296,0.965,0
4049.26,22,29.51,30.31,0,0,0,1,415.15,3249,0.438,11.676,0
2056.49,8,18.68,25.31,0,0,0,2,1366.16,338,0.113,2.106,0
6221.44,15,22.28,9.67,0,0,0,3,2582.25,1497,0.129,3.853,0
1608.78,10,20.29,4.43,0,0,1,1,470.15,1286,0.14,4.097,0
393.68,20,14.06,8.29,0,1,0,1,606.96,735,0.173,0.777,0
340.99,7,35.22,13.52,0,0,1,2,3342.77,1366,0.337,0.143,0
6980.86,7,40.3,15.69,0,0,0,2,646.02,1010,0.114,15.105,0
7507.56,11,19.48,9.68,0,0,0,3,258.34,1467,0.027,46.318,0
1119.32,18,41.99,20.07,1,0,0,2,3204.5,2990,0.112,0.489,0
913.07,5,43.07,25.35,0,0,0,1,3501.95,2337,0.067,0.313,0
5775.87,3,7.81,7.45,0,0,0,1,1528.77,3522,0.415,4.531,0
442.73,13,34.9,11.77,0,0,1,2,1164.72,1733,0.298,0.532,0
547.45,20,3.79,6.94,0,0,0,2,1162.7,2865,0.048,0.659,0
2548.67,20,40.09,33.34,0,1,2,2,4912.47,2588,0.325,0.726,0
902.7,13,16.47,4.66,0,0,2,1,453.92,501,0.194,2.381,0
1332.59,13,5.08,11.63,0,0,0,3,937.55,1358,0.417,2.272,0
1137.46,1,18.15,13.41,0,0,0,0,643.61,87,0.329,1.765,0
1877.27,6,21.36,54.94,0,0,0,1,743.38,1223,0.21,3.026,0
5472.45,6,21.49,21.81,0,0,0,2,684.88,1121,0.304,11.17,0
1466.43,22,27.42,17.84,0,0,0,0,1033.29,205,0.051,1.418,0
2550.23,11,43.14,0.54,0,0,0,3,399.13,2001,0.187,10.198,0
172.4,8,28.14,1.96,0,0,1,4,2391.34,1126,0.355,0.13,0
1275.74,12,34.82,5.78,0,0,0,3,985.27,1234,0.198,2.07,0
576.38,18,4.57,20.38,1,0,0,0,452.34,1648,0.168,1.271,0
395.91,17,37.97,50.53,0,0,0,2,1343.17,3310,0.152,0.412,0
556.6,12,16.3,12.7,0,0,0,0,1167.54,1149,0.213,0.476,1
958.99,13,49.52,23.64,0,0,0,0,452.9,687,0.089,2.113,0
3347.28,15,44.2,15.48,0,0,0,2,660.06,2667,0.154,7.089,0
355.53,18,10.31,16.67,0,0,0,3,351.66,3339,0.383,1.613,0
1381.09,4,2.5,11.45,1,0,0,2,205.53,3316,0.177,9.362,0
825.37,19,13.44,10.09,0,0,0,1,2614.87,3114,0.024,0.379,0
965.19,18,15.69,6.89,0,0,0,2,3874.82,3173,0.22,0.349,0
3651.01,14,28.33,17.43,0,0,0,1,745.94,3641,0.07,5.866,0
2294.14,13,10.35,6.46,0,0,0,3,919.85,2286,0.554,3.986,0
5102.05,5,24.49,38.96,0,0,0,2,1784.8,1710,0.334,4.0,0
1147.68,12,27.7,13.54,0,0,0,2,1557.2,3396,0.109,1.031,0
667.85,15,14.38,4.75,0,1,0,0,406.7,1128,0.523,1.638,0
1070.78,3,15.67,6.48,0,0,0,1,4315.62,1032,0.374,0.298,0
1707.01,10,5.98,17.96,0,0,0,1,546.67,3366,0.231,3.74,0
1598.1,6,11.75,17.67,1,0,0,2,1254.15,3268,0.225,1.783,0
452.87,1,20.9,39.34,0,0,0,1,2058.84,2113,0.389,0.264,0
1466.29,21,38.57,13.11,1,0,0,0,1057.66,713,0.31,1.385,0
1682.82,11,12.51,22.75,0,0,0,1,1345.25,2857,0.176,1.5,0
16605.25,6,29.87,19.65,1,0,0,2,618.31,455,0.088,37.538,0
8750.31,19,14.63,32.7,0,0,0,2,1132.1,1586,0.064,10.811,0
570.64,2,7.69,15.75,0,1,0,0,2309.81,513,0.054,0.247,0
1004.87,10,19.34,12.72,0,0,0,1,267.14,1018,0.122,4.497,0
310.0,14,30.73,7.6,0,0,1,2,1122.26,1673,0.143,0.386,0
741.96,8,38.49,7.26,0,0,1,3,4171.51,1520,0.056,0.285,0
1836.48,14,43.87,4.64,0,0,0,1,938.0,2860,0.279,2.347,1
4473.17,4,7.42,16.72,0,0,1,2,2530.79,63,0.156,2.474,0
646.08,7,20.17,36.46,0,0,1,0,2471.96,2697,0.089,0.261,0
696.35,13,66.54,21.14,0,0,1,0,3053.71,563,0.107,0.228,0
156.45,1,31.67,9.28,1,0,1,0,1355.1,1809,0.053,0.115,0
1138.35,6,51.61,9.27,0,0,0,0,648.04,2248,0.218,1.754,0
462.93,11,60.73,9.92,0,1,1,3,1950.29,2097,0.222,0.38,0
788.84,14,6.38,25.95,1,1,2,3,431.56,2460,0.39,2.918,0
557.32,17,2.56,18.68,0,1,0,3,989.86,1622,0.287,0.9,0
1218.94,0,11.33,18.04,0,0,0,0,3230.82,1205,0.434,0.377,0
230.97,1,13.63,3.3,0,0,0,1,808.72,1162,0.26,0.342,0
308.88,8,3.16,17.07,0,0,0,0,1235.18,2044,0.149,0.25,0
11262.65,21,52.41,18.72,0,0,0,2,551.78,1254,0.131,28.524,0
369.66,18,53.07,34.64,0,1,0,3,628.75,2735,0.064,0.939,0
447.29,17,23.43,8.84,0,0,0,4,748.48,1212,0.516,1.074,0
8407.79,0,60.47,17.15,0,0,0,2,403.81,1798,0.198,29.078,0
24466.67,11,13.48,17.27,0,0,0,2,399.21,3191,0.049,85.588,0
415.06,2,30.42,36.61,0,1,1,1,1826.73,3219,0.269,0.273,0
926.81,19,24.75,11.62,0,0,0,0,688.72,2582,0.167,1.344,0
1884.76,23,7.12,30.43,1,0,2,3,1409.02,1467,0.016,2.139,0
7545.43,9,39.61,12.95,0,0,0,2,3379.18,1748,0.209,3.125,1
499.27,0,11.17,9.64,0,0,1,3,587.8,2463,0.078,1.357,1
1048.09,15,9.07,30.86,0,0,0,1,1062.65,2743,0.047,1.182,0
2914.16,18,5.29,21.97,0,0,0,1,236.54,2808,0.341,14.722,0
2068.89,1,90.83,13.95,0,0,0,0,2933.62,1639,0.073,0.705,0
919.51,8,28.78,14.72,0,0,1,1,2132.84,2421,0.051,0.517,0
1171.66,19,12.26,11.43,0,1,0,1,1589.9,998,0.214,0.884,0
338.7,6,1.15,2.99,0,0,0,5,1710.21,777,0.367,0.396,0
1055.56,10,11.82,4.95,0,0,0,0,594.73,346,0.403,1.772,0
1026.19,17,8.95,14.58,0,0,0,1,593.48,2645,0.28,2.071,0
1689.47,2,17.1,9.28,0,1,0,1,921.6,343,0.258,2.197,0
768.68,20,11.7,3.59,0,0,1,0,716.74,1152,0.04,1.071,0
2146.38,14,51.79,15.41,0,0,0,3,5488.27,3141,0.179,0.626,0
3687.54,10,31.19,4.37,0,0,0,1,1463.12,1953,0.031,3.022,0
1564.67,9,28.33,17.79,0,0,1,0,731.04,3505,0.273,2.137,0
1904.08,0,19.44,53.87,0,0,0,0,2955.69,405,0.128,0.644,0
1412.55,14,24.97,8.99,0,0,0,1,708.97,1195,0.267,2.388,0
1339.54,21,30.77,24.22,0,0,0,0,2461.9,425,0.328,0.544,0
650.96,8,4.93,14.99,0,0,0,4,1136.66,395,0.098,1.03,0
1838.11,21,11.03,28.8,0,0,0,1,3771.16,1958,0.482,0.585,0
1215.26,14,17.08,27.08,0,0,0,1,426.73,3628,0.538,3.409,1
10863.55,14,10.4,31.27,0,0,1,0,1092.59,3228,0.31,9.934,1
6459.81,15,3.39,8.94,0,0,0,1,1870.24,1241,0.215,4.143,0
1970.11,5,35.88,14.67,0,0,1,0,726.34,1180,0.041,2.709,0
624.49,17,1.87,44.52,0,0,0,1,179.84,1902,0.163,4.144,0
440.36,23,45.96,18.31,0,0,0,0,1701.86,2466,0.137,0.259,0
4407.85,19,16.41,14.35,0,1,0,0,702.04,679,0.291,6.27,1
1741.93,10,27.49,2.88,0,0,0,2,1905.0,1925,0.233,1.279,0
2164.93,18,8.8,35.63,1,0,0,0,3784.7,1046,0.061,0.572,0
234.02,21,32.49,33.43,0,0,1,0,1732.74,2974,0.105,0.135,0
3386.11,19,19.59,5.5,0,0,2,2,5797.84,1619,0.097,0.818,1
2109.95,5,6.55,13.32,0,0,0,1,1127.19,1124,0.307,2.244,0
441.23,1,21.05,28.76,0,0,0,1,1858.85,3265,0.199,0.285,0
835.87,21,42.17,2.14,0,0,0,2,730.13,2136,0.17,1.601,0
1743.62,4,7.92,2.25,0,0,0,2,731.67,909,0.102,3.332,0
1411.58,18,11.98,15.45,0,0,0,2,1504.25,1146,0.168,1.313,0
1000.07,3,58.49,30.75,0,0,0,1,479.39,1748,0.097,2.498,0
1207.75,10,17.03,37.85,0,0,0,5,368.26,1196,0.105,6.541,0
1041.09,6,37.38,7.17,0,0,1,2,1034.21,2396,0.026,1.408,0
1560.19,1,40.98,4.09,0,0,0,4,4257.68,1444,0.248,0.659,0
5834.2,17,27.4,44.84,0,0,0,1,3895.8,830,0.097,1.797,0
102.86,9,14.16,10.06,0,1,0,2,1158.88,1800,0.211,0.124,0
1056.96,18,13.69,9.82,1,0,0,1,1242.16,2153,0.299,1.02,0
1598.01,20,16.63,6.99,0,0,0,1,1059.86,839,0.228,1.808,0
1800.81,4,2.94,26.55,0,0,1,3,938.18,1879,0.022,3.068,0
923.42,16,28.85,22.44,0,0,0,2,299.22,1418,0.244,4.306,0
231.2,12,67.24,30.95,0,0,0,2,1802.62,1454,0.051,0.179,0
1859.37,7,27.67,30.34,0,0,0,4,761.2,2824,0.255,4.391,0
7535.27,8,1.88,39.77,0,1,0,0,1820.71,1873,0.211,4.136,0
288.92,14,26.59,28.22,0,0,0,0,876.64,1650,0.326,0.329,0
3177.43,23,3.43,8.32,0,1,0,1,1761.81,2665,0.289,2.163,0
964.37,22,33.7,12.32,0,0,0,3,966.16,1849,0.033,1.595,0
1259.76,8,22.82,40.12,0,0,0,2,762.48,360,0.271,2.31,0
467.36,9,9.01,14.5,0,0,1,1,1273.7,1147,0.296,0.44,0
958.67,23,17.64,48.91,0,0,0,1,686.6,2604,0.182,1.673,0
4914.99,5,4.92,29.76,0,0,0,2,1026.08,1990,0.179,6.7,0
2398.64,17,60.7,11.7,1,0,0,2,1198.94,3098,0.282,2.799,0
7572.75,20,22.68,46.03,0,0,0,2,735.23,975,0.262,14.4,0
4347.74,1,7.41,44.64,0,0,0,0,572.41,623,0.382,7.582,0
2077.85,12,20.01,32.71,0,0,0,2,500.55,2819,0.493,5.8,1
7661.28,3,13.69,3.96,0,0,1,2,1745.37,1402,0.157,6.142,0
2077.65,13,12.84,8.3,0,0,0,0,567.47,2672,0.072,3.655,0
3065.57,11,67.12,2.0,0,0,0,0,531.36,1051,0.224,5.758,0
995.68,22,8.78,39.23,0,0,0,2,1941.78,873,0.194,0.718,0
1431.6,1,3.84,28.94,0,0,0,2,1649.34,1794,0.215,1.214,1
666.86,9,3.37,12.47,0,0,1,1,525.36,3383,0.363,1.52,0
3603.22,15,11.74,38.59,0,0,0,3,381.87,1140,0.079,15.058,1
412.28,17,66.81,13.11,0,0,0,0,692.49,2433,0.021,0.595,0
2928.81,12,14.01,3.51,0,0,0,3,719.53,2093,0.238,6.504,0
1106.93,20,20.44,7.82,0,0,0,2,1029.8,2374,0.214,1.503,0
4321.02,4,35.48,1.9,0,0,0,1,2479.99,641,0.143,2.09,0
2838.04,14,17.64,11.04,1,0,0,0,376.96,2925,0.242,7.509,0
8272.12,11,44.61,5.22,0,0,0,0,622.87,1299,0.092,13.259,0
2781.58,14,14.27,8.94,0,0,0,0,1801.03,317,0.222,1.544,0
278.09,13,9.41,4.52,0,0,1,0,1622.37,3511,0.19,0.171,0
1252.69,11,50.0,12.66,0,0,0,0,994.79,2737,0.164,1.258,0
414.88,0,31.41,31.49,0,0,0,0,589.57,851,0.217,0.703,1
797.69,2,50.78,8.65,0,0,0,1,843.02,512,0.094,1.134,0
6070.7,21,25.83,4.64,0,0,1,2,2014.23,2198,0.14,4.217,1
2533.95,6,10.71,8.31,0,0,0,1,2576.22,1679,0.164,1.18,0
665.85,11,28.26,3.59,0,0,1,0,920.58,1550,0.029,0.723,0
486.04,9,33.5,10.2,0,0,0,1,600.74,3051,0.317,0.969,0
1384.07,7,36.14,23.17,0,1,0,0,3939.81,305,0.213,0.351,0
396.8,6,27.67,5.56,0,1,0,1,1119.04,3076,0.044,0.425,0
684.62,13,28.44,2.93,0,0,0,0,2065.61,1908,0.171,0.331,0
1829.89,6,52.93,18.89,0,0,0,2,1294.58,2182,0.312,1.977,0
4252.71,22,10.4,18.17,0,0,0,1,1016.81,3267,0.099,5.014,0
2462.08,20,10.15,7.14,0,1,0,1,3152.0,15,0.484,0.937,0
135.46,7,11.47,16.7,0,0,1,1,877.58,1361,0.153,0.185,0
1815.95,14,11.04,17.06,0,0,0,1,269.02,3420,0.594,8.07,0
1439.47,22,1.61,8.44,1,0,0,3,2722.45,89,0.524,0.846,0
2026.15,22,21.27,4.33,0,0,0,0,772.53,2159,0.106,2.619,0
6742.66,8,48.14,9.67,0,1,0,2,2814.84,145,0.263,3.352,0
170.16,10,42.2,17.17,0,0,0,2,630.6,915,0.172,0.377,0
